,repository_name,language
0,app-store-server-library-java,Java
1,app-store-server-library-node,TypeScript
2,app-store-server-library-python,Python
3,app-store-server-library-swift,Swift
4,apple-llvm-infrastructure-tools,C++
5,apple_rules_lint,Starlark
6,ARKitScenes,Python
7,AudioUnit-Examples,Swift
8,AudioUnitSDK,C++
9,axlearn,Python
10,batch-processing-gateway,Java
11,ccs-caldavclientlibrary,HTML
12,ccs-caldavtester,Python
13,ccs-calendarserver,Python
14,ccs-pycalendar,Python
15,ccs-pykerberos,C
16,ccs-pyopendirectory,C++
17,ccs-pyosxframeworks,Python
18,ccs-pysecuretransport,Python
19,ccs-twistedextensions,Python
20,coremltools,Python
21,cups,C
22,darwin-libplatform,C
23,darwin-libpthread,C
24,darwin-xnu,C
25,device-management,
26,dnikit,Python
27,example-package-dealer,Swift
28,example-package-deckofplayingcards,Swift
29,example-package-figlet,Swift
30,example-package-fisheryates,Swift
31,example-package-playingcard,Swift
32,FHIRModels,Swift
33,foundationdb,C++
34,fstools,C
35,game-center-tools,Python
36,GCGC,Jupyter Notebook
37,homebrew-apple,Ruby
38,HomeKitADK,C
39,indexstore-db,C++
40,learning-compressible-subspaces,Python
41,learning-subspaces,Python
42,llvm-monorepo-root,
43,llvm-project,
44,llvm-project-v5,C++
45,llvm-project-v5-split,C++
46,MaterialX,
47,ml-afv,Python
48,ml-aim,Python
49,ml-all-pairs,Python
50,ml-ane-transformers,Python
51,ml-aspanformer,Python
52,ml-autofocusformer,Python
53,ml-autofocusformer-segmentation,Python
54,ml-batchquant,Python
55,ml-behavioral-testing-for-mt,
56,ml-calibration,Jupyter Notebook
57,ml-capsules-inverted-attention-routing,Python
58,ml-cifar-10-faster,Python
59,ml-code-switched-speech-translation,Python
60,ml-codeswitching-translations,
61,ml-collegial-ensembles,Python
62,ml-core,Python
63,ml-covid-mobility,R
64,ml-cread,Python
65,ml-cvnets,Python
66,ml-cvpr2019-swd,Python
67,ml-dab,Python
68,ml-data-parameters,Python
69,ml-delphi,
70,ml-destseg,Python
71,ml-dms-dataset,Python
72,ml-dprecs,Jupyter Notebook
73,ml-dr,Python
74,ml-duet,Python
75,ml-entity-deduction-arena,Python
76,ml-entropy-reconstruction,Python
77,ml-envmapnet,Python
78,ml-equivariant-neural-rendering,Jupyter Notebook
79,ml-facelit,Python
80,ml-fastvit,Python
81,ml-fct,Python
82,ml-ferret,Python
83,ml-finerecon,Python
84,ml-flair,Jupyter Notebook
85,ml-gaudi,
86,ml-gmpi,Python
87,ml-gsn,Python
88,ml-heart-rate-models,Python
89,ml-hierarchical-confusion-matrix,TypeScript
90,ml-hypersim,Python
91,ml-interspeech2022-phi_rtn,
92,ml-kge,Python
93,ml-knowledge-conflicts,Python
94,ml-live-pose,
95,ml-mkqa,Python
96,ml-mobileone,Swift
97,ml-multiple-futures-prediction,Python
98,ml-ncg,Python
99,ml-neilf,Python
100,ml-neilfpp,Python
101,ml-neuman,Python
102,ml-no-token-left-behind,Jupyter Notebook
103,ml-np-rasp,Python
104,ml-nvas3d,Python
105,ml-pointconvformer,Python
106,ml-pointersect,Python
107,ml-probabilistic-attention,Python
108,ml-projunit,Python
109,ml-qrecc,Python
110,ml-quant,Python
111,ml-reed,Python
112,ml-rlgrad,Python
113,ml-robust-expert-augmentations,Python
114,ml-sad,Python
115,ml-selfcond,Python
116,ml-shuffling-amplification,Python
117,ml-sigma-reparam,Python
118,ml-spatial-librispeech,
119,ml-spin,Python
120,ml-stable-diffusion,Python
121,ml-stabledreamer,
122,ml-stuttering-events-dataset,Python
123,ml-symphony,Svelte
124,ml-tic-clip,
125,ml-tract,Python
126,ml-transcript-translation-consistency-ratings,
127,ml-translate-vis,TypeScript
128,ml-tree-dst,Python
129,ml-tune-mode-convbn,Python
130,ml-upscale,Jupyter Notebook
131,ml-uwac,Python
132,ml-vfi-smiff,Python
133,ml-vision-transformers-ane,Python
134,openjdk,Java
135,password-manager-resources,JavaScript
136,sample-backyard-birds,Swift
137,sample-cloudkit-coredatasync,Swift
138,sample-cloudkit-encryption,Swift
139,sample-cloudkit-privatedb,Swift
140,sample-cloudkit-privatedb-sync,Swift
141,sample-cloudkit-queries,Swift
142,sample-cloudkit-sharing,Swift
143,sample-cloudkit-sync-engine,Swift
144,sample-cloudkit-tooling,JavaScript
145,sample-cloudkit-zonesharing,Swift
146,sample-food-truck,Swift
147,servicetalk,Java
148,sourcekit-lsp,Swift
149,swift,C++
150,swift-3-api-guidelines-review,Swift
151,swift-algorithms,Swift
152,swift-aoc-starter-example,Swift
153,swift-argument-parser,Swift
154,swift-asn1,Swift
155,swift-async-algorithms,Swift
156,swift-async-dns-resolver,Swift
157,swift-atomics,Swift
158,swift-book,Markdown
159,swift-cassandra-client,Swift
160,swift-certificates,Swift
161,swift-clang,C++
162,swift-clang-tools-extra,C++
163,swift-cluster-membership,Swift
164,swift-cmake-examples,CMake
165,swift-cmark,C
166,swift-collections,Swift
167,swift-collections-benchmark,Swift
168,swift-community-hosted-continuous-integration,
169,swift-compiler-rt,C
170,swift-corelibs-foundation,Swift
171,swift-corelibs-libdispatch,C
172,swift-corelibs-xctest,Swift
173,swift-crypto,C
174,swift-distributed-actors,Swift
175,swift-distributed-tracing,Swift
176,swift-distributed-tracing-baggage-core,Swift
177,swift-distributed-tracing-extras,Swift
178,swift-docc,Swift
179,swift-docc-plugin,Swift
180,swift-docc-render,JavaScript
181,swift-docc-render-artifact,
182,swift-docc-symbolkit,Swift
183,swift-docker,Dockerfile
184,swift-driver,Swift
185,swift-evolution,Markdown
186,swift-evolution-staging,Swift
187,swift-experimental-string-processing,Swift
188,swift-format,Swift
189,swift-foundation,Swift
190,swift-foundation-icu,C
191,swift-getting-started-cli,Swift
192,swift-getting-started-package-library,Swift
193,swift-http-structured-headers,Swift
194,swift-http-types,Swift
195,swift-installer-scripts,CMake
196,swift-integration-tests,Python
197,swift-internals,HTML
198,swift-issues,
199,swift-libcxx,C++
200,swift-llbuild,C++
201,swift-llbuild2,Swift
202,swift-lldb,C++
203,swift-llvm,LLVM
204,swift-llvm-bindings,Swift
205,swift-lmdb,C
206,swift-log,Swift
207,swift-markdown,Swift
208,swift-metrics,Swift
209,swift-metrics-extras,Swift
210,swift-mmio,Swift
211,swift-nio,Swift
212,swift-nio-examples,Swift
213,swift-nio-extras,Swift
214,swift-nio-http2,Swift
215,swift-nio-imap,Swift
216,swift-nio-nghttp2-support,Swift
217,swift-nio-ssh,Swift
218,swift-nio-ssl,C
219,swift-nio-ssl-support,Swift
220,swift-nio-transport-services,Swift
221,swift-nio-zlib-support,Swift
222,swift-numerics,Swift
223,swift-openapi-generator,Swift
224,swift-openapi-runtime,Swift
225,swift-openapi-urlsession,Swift
226,swift-org-website,SCSS
227,swift-package-collection-generator,Swift
228,swift-package-manager,Swift
229,swift-package-registry-compatibility-test-suite,Swift
230,swift-protobuf,Swift
231,swift-protobuf-plugin,
232,swift-protobuf-test-conformance,
233,swift-sample-distributed-actors-transport,Swift
234,swift-sdk-generator,Swift
235,swift-se0270-range-set,Swift
236,swift-se0288-is-power,Swift
237,swift-service-context,Swift
238,swift-service-discovery,Swift
239,swift-source-compat-suite,Python
240,swift-standard-library-preview,Swift
241,swift-statsd-client,Swift
242,swift-stress-tester,Swift
243,swift-syntax,Swift
244,swift-system,Swift
245,swift-testing,Swift
246,swift-tools-support-async,Swift
247,swift-tools-support-core,Swift
248,swift-xcode-playground-support,Swift
249,swiftpm-on-llbuild2,Swift
250,tensorflow_macos,Shell
251,turicreate,C++
252,unityplugins,C#
253,VideoFlashingReduction,Mathematica
254,vqg-multimodal-assistant,Python
